strategy,expectation,timesteps_mean,movements_mean,n_qubits,n_samples,width,height,rounds,min_expectation
Path Algorithm with Waiting,0.8,67,91.9,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.83,67.13793103448276,92.41379310344827,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.85,65.13333333333334,93.11111111111111,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.88,59.30909090909091,91.96363636363637,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.9,58.666666666666664,92,6,5,3,3,5,0.9
Path Algorithm with Waiting,0.93,51.34146341463415,94.76829268292683,6,100,3,3,5,0.8
Path Algorithm with Waiting,0.95,47.5,93.25,6,5,3,3,5,0.9
Path Algorithm with Waiting,0.98,38.11340206185567,95.38144329896907,6,100,3,3,5,0.8
Path Algorithm with Waiting,1.0,32,92.8,6,5,3,3,5,0.9
Path Algorithm with Rerouting,0.8,53.59090909090909,105.45454545454545,6,100,3,3,5,0.8
Path Algorithm with Rerouting,0.83,52.48717948717949,109.33333333333333,6,100,3,3,5,0.8
Path Algorithm with Rerouting,0.85,50.291666666666664,105.8125,6,100,3,3,5,0.8
Path Algorithm with Rerouting,0.88,46.50847457627118,106.96610169491525,6,100,3,3,5,0.8
Path Algorithm with Rerouting,0.9,41.943661971830984,102.29577464788733,6,100,3,3,5,0.8
Path Algorithm with Rerouting,0.93,38.45679012345679,100.04938271604938,6,100,3,3,5,0.8
Path Algorithm with Rerouting,0.95,38.247058823529414,101.38823529411765,6,100,3,3,5,0.8
Path Algorithm with Rerouting,0.98,34.619565217391305,98.54347826086956,6,100,3,3,5,0.8
Path Algorithm with Rerouting,1.0,32,92.80412371134021,6,100,3,3,5,0.8
