strategy,width,height,n_sn,n_qubits,timesteps_mean,movements_mean,n_success,n_samples,p_success,p_repair,rounds
Default,2,2,12,3,9.040816326530612,23.26530612244898,50,50,0.99,0.25,5
Default,2,3,17,4,19.6734693877551,51.6530612244898,50,50,0.99,0.25,5
Default,3,2,17,4,19.36,51.34,50,50,0.99,0.25,5
Default,2,4,22,5,23.88095238095238,58.023809523809526,50,50,0.99,0.25,5
Default,2,5,27,6,37.89795918367347,99.81632653061224,50,50,0.99,0.25,5
Default,3,3,24,6,35.816326530612244,96.79591836734694,50,50,0.99,0.25,5
Default,3,4,31,7,37.38235294117647,103.17647058823529,50,50,0.99,0.25,5
Default,3,5,38,9,54.89473684210526,155.21052631578948,50,50,0.99,0.25,5
Default,4,2,22,5,24.547619047619047,58.42857142857143,50,50,0.99,0.25,5
Default,4,3,31,7,37.483870967741936,103,50,50,0.99,0.25,5
Default,4,4,40,10,67.34782608695652,204.6086956521739,50,50,0.99,0.25,5
Default,4,5,49,12,84.46341463414635,275.0975609756098,50,50,0.99,0.25,5
Default,5,2,27,6,37.87755102040816,101.6734693877551,50,50,0.99,0.25,5
Default,5,3,38,9,54.77777777777778,159.38888888888889,50,50,0.99,0.25,5
Default,5,4,49,12,84.04545454545455,276.3863636363636,50,50,0.99,0.25,5
Default,5,5,60,12,92.3695652173913,289.2173913043478,50,50,0.99,0.25,5
Rotation,2,2,12,3,9,15.08,50,50,0.99,0.25,5
Rotation,2,3,17,4,19.52,35.7,50,50,0.99,0.25,5
Rotation,3,2,17,4,19.88,35.02,50,50,0.99,0.25,5
Rotation,2,4,22,5,26.16,45.84,50,50,0.99,0.25,5
Rotation,2,5,27,6,44.22,79.7,50,50,0.99,0.25,5
Rotation,3,3,24,6,38.4,72.58,50,50,0.99,0.25,5
Rotation,3,4,31,7,46,81.82,50,50,0.99,0.25,5
Rotation,3,5,38,9,71.95918367346938,133.83673469387756,50,50,0.99,0.25,5
Rotation,4,2,22,5,27.48,48.48,50,50,0.99,0.25,5
Rotation,4,3,31,7,47.46,85.98,50,50,0.99,0.25,5
Rotation,4,4,40,10,88.06122448979592,167.3265306122449,50,50,0.99,0.25,5
Rotation,4,5,49,12,113.42,219.6,50,50,0.99,0.25,5
Rotation,5,2,27,6,44.916666666666664,78.5,50,50,0.99,0.25,5
Rotation,5,3,38,9,75.78,136.32,50,50,0.99,0.25,5
Rotation,5,4,49,12,113.46,228.14,50,50,0.99,0.25,5
Rotation,5,5,60,12,126.66666666666667,236.04166666666666,50,50,0.99,0.25,5
